,marcEntry,callNumber,library,numberOfCharges,numberOfBills,numberOfCopyHolds,totalCharges,inhouseCharges,totalCheckouts,totalRenewals,intervalCheckouts,intervalRenewals,intervalStartDate,recirculate,dateLastUsed,isReserveItem,copyNumber,itemID,library2,libraryDescription,currentLibrary,location,inTransitTo,inTransitFrom,datePutInTransit,transitReason
124283,Quilting for dummies / by Cheryl Fall.,TT835 .F35 1999,LINCOLNCTR,0.0,0.0,0.0,32.0,0.0,1.0,7.0,0.0,0.0,1/14/2025,YES,2012-12-19,False,1.0,0201603570049,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124290,Household hints for dummies / by Janet Sobesky.,TX301 .S63 1999,LINCOLNCTR,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2006-05-12,False,1.0,0201603750039,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124291,Smart homes for dummies / by Danny Briere and Pat Hurely.,TX303 .B75 1999,LINCOLNCTR,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2006-03-03,False,1.0,0201603753934,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124333,Gourmet cooking for dummies / by Charlie Trotter with Judi Carle and Sari Zernich ; photography by Tim Turner ; foreword by Emeril Lagasse.,TX651 .T75 1997,LINCOLNCTR,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2009-10-09,False,1.0,0201602745311,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124335,Cooking with kids for dummies / by Kate Heyhoe ; foreword by Mollie Katzen.,TX661 .H49 1999,LINCOLNCTR,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,1/14/2025,YES,2015-05-15,False,1.0,0201603574504,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124338,Mexican cooking for dummies / by Mary Sue Milliken and Susan Feniger with Helene Siegel.,TX716.M4 M55 1999,LINCOLNCTR,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2006-08-17,False,1.0,0201603895990,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124343,Seafood cooking for dummies / by Leslie Beal Bloom and Marcie Ver Ploeg.,TX747 .B56 1999,LINCOLNCTR,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1/14/2025,YES,2013-09-26,False,1.0,0201603883020,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124344,Desserts for dummies / by Bryan Miller and Bill Yosses.,TX773 .M55 1997,LINCOLNCTR,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2008-04-09,False,1.0,0201602773776,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124347,Grilling for dummies / by Marie Rama and John Mariani.,TX840.B3 R36 1998,LINCOLNCTR,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2002-11-09,False,1.0,0201603101365,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
125104,Adobe InDesign for dummies / by Deke McClelland and Amy Thomas Buscaglia.,Z253.532.I6 M29 1999,LINCOLNCTR,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1/14/2025,YES,2012-01-08,False,1.0,0201603896725,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
